caract0,caract1,caract2,caract3,caract4,caract5,caract6,caract7,caract8,caract9,caract10,caract11,caract12,caract13,caract14,caract15,caract16,caract17,caract18,caract19,caract20,caract21,caract22,caract23,caract24,caract25,caract26,caract27,caract28,caract29,caract30,caract31,caract32,caract33,caract34,caract35,caract36,caract37,caract38,caract39,caract40,nombre_imagen,cluster_label
3.0,4.0,4.0,3.0,9.0,9.0,9.0,5.0,0.0,1.0,5.0,3.0,3.0,4.0,5.0,0.0,5.0,3.0,1.0,0.0,1.0,5.0,2.0,0.0,9.0,9.0,9.0,3.0,9.0,2.0,0.0025206190807455,6.008545399693905e-07,2.67014588404196e-10,5.848285805195466e-10,1.8498161076797917e-19,4.4408792429140085e-13,-1.3853367636312872e-19,139946.0,1506.0,209.0,167.0,,12
3.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,9.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,3.0,0.0,5.0,0.0028347953444822,7.321357539443094e-07,9.40694752270992e-10,5.466237864147424e-10,-1.9332644581714302e-19,3.9437280661280253e-13,-3.409815589269218e-19,157439.0,1646.4264061450958,220.0,178.0,,9
2.0,9.0,5.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,1.0,3.0,2.0,9.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,9.0,0.0033374714800055,5.218852704378072e-08,4.911391051438451e-10,3.8635618255427215e-10,1.6767954126783434e-19,3.0667222095695383e-14,-1.4437926346915182e-20,10176.0,404.0,48.0,53.0,,13
1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,2.0,1.0,1.0,9.0,9.0,1.0,1.0,0.0,1.0,1.0,9.0,9.0,1.0,9.0,5.0,9.0,9.0,3.0,3.0,5.0,0.0033744371599247,2.051075326311364e-06,1.4753314546146144e-09,6.272932855023637e-10,-7.017833574687401e-20,7.39383274870317e-13,-5.993686520954209e-19,115584.5,1389.899494767189,199.0,144.0,,0
3.0,2.0,9.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,9.0,9.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,9.0,1.0,5.0,1.0,9.0,9.0,9.0,9.0,1.0,0.0028027621614448,6.74177291970133e-07,8.908429340845721e-10,5.346093498719282e-10,-1.9631639691909136e-19,3.726141588275872e-13,-3.1237217756998226e-19,161539.5,1667.3553384542463,222.0,181.0,,12
3.0,3.0,5.0,3.0,3.0,3.0,2.0,9.0,2.0,2.0,2.0,1.0,5.0,2.0,0.0,2.0,5.0,2.0,1.0,2.0,9.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,0.0026264382274983,4.406816576674535e-07,4.088652928946423e-09,1.148761344908443e-09,-2.2407250657074096e-18,-4.2956098307673205e-13,-1.0850851157930881e-18,96116.0,1250.8284270763395,138.0,173.0,,8
1.0,9.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,9.0,9.0,3.0,4.0,3.0,1.0,1.0,9.0,0.0027409465977769,1.1101029031179356e-06,3.954398843104322e-10,6.395445653005281e-10,1.0472925572713549e-19,6.555056355619378e-13,-3.040934563987088e-19,142118.0,1526.8284270763395,219.0,161.0,,7
1.0,1.0,1.0,0.0,3.0,3.0,2.0,9.0,9.0,3.0,2.0,4.0,5.0,2.0,4.0,5.0,4.0,0.0,1.0,9.0,9.0,2.0,9.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,0.0023392748657324,1.5776679641140104e-06,1.7988434953542047e-10,1.8567264100252772e-10,3.392139785098009e-20,2.0747268940727618e-13,8.761649310075389e-22,90296.0,1281.6568541526794,214.0,104.0,,8
3.0,4.0,3.0,3.0,4.0,4.0,3.0,9.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,4.0,9.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,9.0,9.0,3.0,2.0,0.0024402546211642,1.9245938751592626e-06,1.7774061469943932e-10,1.4642677246711463e-10,2.3611477207093034e-20,1.679267439594039e-13,7.183770839287826e-22,96383.5,1359.213203072548,228.0,105.0,,8
3.0,3.0,1.0,1.0,9.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,0.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,0.0032923734500933,5.8148781418598784e-06,4.287368398031363e-09,4.6676750445533075e-09,2.086759515221795e-17,1.1248135749479356e-11,7.413843542012819e-19,69781.5,1190.7279218435287,208.0,83.0,,8
3.0,3.0,3.0,3.0,3.0,9.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,9.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,9.0,3.0,0.0027136169050198,2.997966674422364e-06,2.5505887555102347e-10,2.8742012852456077e-10,7.771872690970756e-20,4.552848962475365e-13,-3.985563512452622e-21,104291.0,1416.0,249.0,104.0,,9
1.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,1.0,0.0,9.0,9.0,1.0,3.0,2.0,9.0,9.0,2.0,2.0,3.0,3.0,5.0,5.0,2.0,9.0,5.0,4.0,5.0,0.0032773113647301,5.139122224132243e-06,4.3060744971769455e-09,4.867627316055842e-09,2.2267281174650905e-17,1.103435751764538e-11,8.937645238248254e-19,61058.5,1090.7279218435287,183.0,82.0,,5
3.0,4.0,3.0,3.0,4.0,4.0,3.0,9.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,4.0,9.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,9.0,9.0,3.0,2.0,0.0143382562470515,0.0001987979998421,1.0195814970079914e-07,1.0251004802999477e-07,1.0479977319484884e-14,1.4450113240584898e-09,1.2016110425825594e-17,18174.0,1010.0,233.0,19.0,,8
2.0,9.0,5.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,1.0,3.0,2.0,9.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,9.0,0.00341327217469,5.991954240484619e-07,1.8552831964412166e-10,1.705891588656891e-10,2.962858981915601e-20,1.2455520287270702e-13,6.569397315951881e-21,10573.0,412.0,54.0,48.0,,13
2.0,9.0,5.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,1.0,3.0,2.0,9.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,9.0,0.0033309897557114,7.119466242577039e-08,7.358191135189137e-10,5.027114933495266e-10,3.0456437420469254e-19,-1.4311029638631672e-14,-2.6878190570212143e-20,9464.0,390.0,45.0,52.0,,13
0.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,1.0,9.0,5.0,1.0,0.0024934986408695,3.212104712081205e-06,7.603659891536568e-11,5.7868417795057144e-11,2.570444990936577e-21,6.858063468804309e-14,2.850916209332884e-21,81282.0,1246.0,93.0,218.0,,11
1.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,0.0011774782885621,4.37076863229756e-08,1.918792474162657e-11,3.3358230359267432e-12,-1.7269325030605066e-23,6.148096310193312e-16,-2.034767528545552e-23,259303.0,2062.82842707634,293.0,220.0,,2
9.0,9.0,1.0,9.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,9.0,9.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,5.0,9.0,1.0,0.0011004807327144,1.7942582426586125e-07,1.998115924267809e-11,2.0740639909208177e-13,-3.271243839710312e-25,-8.43954256988138e-17,2.669518287060032e-25,122980.0,1432.0,215.0,143.0,,14
2.0,5.0,4.0,0.0,5.0,3.0,3.0,9.0,9.0,9.0,9.0,1.0,3.0,9.0,2.0,9.0,1.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,0.0018232741676629,5.0573743457726e-07,1.502312447793977e-10,1.7021174591998608e-10,1.6306047180091025e-20,1.0449202788913429e-13,2.1793585492580262e-20,53580.0,946.0,94.0,142.0,,11
3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,9.0,9.0,0.0,5.0,2.0,0.0,9.0,9.0,9.0,9.0,9.0,0.0011344994644167,2.037043288332976e-07,3.4354594164368095e-11,3.425319004234435e-13,1.805370350485809e-26,-1.0342934874371287e-16,1.174877749453763e-24,145007.0,1562.8284270763395,238.0,152.0,,12
3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,9.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,9.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0013968073838692,4.00113687655182e-08,3.340239368231757e-11,4.5721131024403714e-11,-1.7692339354613937e-21,-6.3002281812162466e-15,-2.495866426035972e-22,91553.0,1212.0,143.0,159.0,,7
3.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,1.0,1.0,5.0,1.0,1.0,9.0,9.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,9.0,0.0010638753713783,6.383441001177052e-08,3.341666621664669e-12,8.494034112864638e-13,-1.4136165375319448e-24,7.740672357767953e-17,-2.2264591108465745e-25,126400.0,1432.0,200.0,158.0,,12
3.0,4.0,0.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,0.0,1.0,9.0,9.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,0.0020732051441289,1.4765482650155376e-06,1.1048369426371224e-10,8.040575333005979e-11,3.739744547935161e-21,7.265631241138096e-14,6.5914379532613385e-21,74973.0,1148.0,100.0,186.0,,13
3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,9.0,9.0,9.0,1.0,9.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,0.0012773498557867,1.7998984185025494e-10,9.25502700648326e-12,3.5619897894154784e-11,6.035913632898036e-23,4.1935425818434223e-16,-6.439144327988076e-22,104720.0,1296.0,170.0,154.0,,12
3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,9.0,9.0,9.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,0.0012896845194197,3.523732843265868e-07,3.709462709647962e-11,9.732444287603983e-12,1.1088437913221814e-22,5.408580971584147e-15,-1.479890908461152e-22,181378.0,1796.8284270763395,293.0,154.0,,2
3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,4.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,3.0,0.0013138658608159,4.242765688777322e-07,4.1530496182068114e-11,1.3554887281128076e-11,3.079006862871093e-22,5.3876613943503015e-15,9.289322050030097e-23,78376.0,1180.0,194.0,101.0,,5
2.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,9.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,9.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,0.0053878188362695,2.4448479282720323e-05,8.294009435890074e-09,8.544206603645486e-09,7.192657401192129e-17,4.224655854723322e-11,-1.0913308450038865e-19,5985.0,412.0,17.0,85.0,,13
1.0,3.0,3.0,2.0,9.0,1.0,1.0,1.0,1.0,9.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,9.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,3.0,9.0,1.0,3.0,0.0019280618421488,7.052743033919648e-07,8.516880115131564e-10,3.3398264514817355e-10,1.128908199363748e-19,2.6143310079514094e-13,-1.3778374192832085e-19,252263.5,2057.5563489198685,302.0,208.0,,2
2.0,2.0,1.0,3.0,9.0,2.0,2.0,0.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,9.0,2.0,2.0,2.0,0.0,3.0,2.0,5.0,5.0,4.0,0.0066571842345002,4.25121436952532e-05,1.337603665731856e-07,1.32885605226143e-07,1.771660201373701e-14,8.66326295495314e-10,1.717059576048857e-17,15156.0,914.0,18.0,210.0,,4
3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,9.0,0.0,9.0,3.0,2.0,3.0,3.0,9.0,3.0,3.0,0.0,3.0,3.0,0.0015141924935125,5.311480307982357e-07,2.7416852313142835e-10,2.4059682652880653e-10,5.674259856514994e-20,1.752015031041736e-13,2.4468939289434446e-20,69861.0,1076.0,109.0,159.0,,11
2.0,2.0,0.0,9.0,4.0,5.0,4.0,4.0,9.0,9.0,0.0,1.0,9.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,9.0,2.0,2.0,3.0,1.0,3.0,3.0,9.0,9.0,2.0,0.0017341386516481,1.8214651156190577e-06,1.494255905431408e-09,1.4275081878393771e-09,2.079854553818853e-18,1.9263296011848644e-12,-1.4462510207173285e-19,45756.0,986.0,62.0,184.0,,4
0.0,2.0,3.0,5.0,0.0,4.0,5.0,3.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,9.0,0.0029741884390589,4.486009275819742e-07,7.232701757939681e-09,5.31431465430454e-10,1.0275563865855598e-18,2.2014263801402832e-13,-1.7221839736678444e-19,130501.0,1490.9705624580383,203.0,159.0,,12
3.0,0.0,9.0,0.0,4.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,2.0,2.0,3.0,1.0,3.0,0.0015384916238157,9.573654277706378e-07,5.328263553313577e-10,5.447677986564942e-10,2.9349038585375967e-19,5.329932835442708e-13,-2.5281757467315776e-21,61721.0,1044.0,90.0,170.0,,9
